Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Après la mort d'Hérode, un ange du Seigneur apparut dans un rêve à Joseph, en Égypte.	Herode lə cwə tə pfʉ́, aŋgəle Cyəpɔ sɔ' bi Yosɛp nthʉ́m jʉ̀m Egipto
Il lui dit: «Debout, prends avec toi l'enfant et sa mère et retourne au pays d'Israël, car ceux qui cherchaient à faire mourir l'enfant sont morts.»	gɔm bi e gɑ: Lusi dɑ mú pú map e bɑnyə Israɛl; pɔ pyə wáp lə bɑ́wə shəŋ nə zhwə mu a pfʉ́tə.
Joseph se leva donc, prit avec lui l'enfant et sa mère et retourna au pays d'Israël.	Yosɛp lə lusi cwəlɔ dɑ mu pu map e, bɑnyə Israɛl
Mais il apprit qu'Archélaos avait succédé à son père Hérode comme roi de Judée; alors il eut peur de s'y rendre. Il reçut de nouvelles indications dans un rêve, et il partit pour la province de Galilée.	da' gɑ́ e lə nə yu' gɑ Arkelao nə wə́ sa' guŋ pɑ Yudea nə yə tsʉ' tap e Herode, bwɔk nə ghɔ wə́; Si lə ghɔmnwə bi e m nthʉm jʉm, e lɑ m Galilea
Il alla s'établir dans une ville appelée Nazareth. Il en fut ainsi pour que se réalise cette parole des prophètes: «Il sera appelé Nazaréen.»	gɔ shwə nə mu' tisuŋ pu ke gɑ Nazarɛt po'o gɑ ywə yə mghɔm ghɔm Si lə la' gɔm a pəmtə gɑ: Pu gɔ sɔ' ké é gɑ yə Nazarɛt.
En ce temps-là, Jean-Baptiste parut dans le désert de Judée et se mit à prêcher	A lə pɑ́ cwə o bɔ̌ Yohane nu' pɔ shyə tə́m ghakgo Yudea bɑ siŋ gɑ
«Changez de comportement, disait-il, car le Royaume des cieux s'est approché!»	po kwyəpnyə: Nəfo kɛbəŋ ghɔptə.
Jean est celui dont le prophète Ésaïe a parlé lorsqu'il a dit: «Un homme crie dans le désert: Préparez le chemin du Seigneur, faites-lui des sentiers bien droits!»	Yohane bɑ́ mo yə Esaya gɔm ghɔm Si lə ghɔmnwə nə e nə cwə yə́ e lɑ́ gɔm gɑ: Gi mo ghakgo shwe gɑ: Po nyaptə məjyə Cyəpɔ po siŋ mpim jyə myə́ a tiŋnyə.
Le vêtement de Jean était fait de poils de chameau et il portait une ceinture de cuir autour de la taille; il mangeait des sauterelles et du miel sauvage.	Dzə Yohane lə́ bɑ dzə mnəŋ Kamelo, tap e pɑ vʉ' e bɑ gwɔp. Ywətsʉ́ e lə bɑ gam biŋ gə ŋwa' gó.
Les habitants de Jérusalem, de toute la Judée et de toute la région voisine de la rivière, le Jourdain, allaient à lui.	Pɑ Yerusalɛm, pu a pɑ Yudea ba guŋ pɑ giŋnyə shyə Yurdɛŋ awɛ lə sɔ' bi e.
Ils confessaient publiquement leurs péchés et Jean les baptisait dans le Jourdain.	Wap lə sɔ' po'o bɑ biŋ mhɔnwə map lə Yohane pɑ nu' wap shyə Yurdɛŋ.
Jean vit que beaucoup de Pharisiens et de Sadducéens venaient à lui pour être baptisés; il leur dit alors: «Bande de serpents! Qui vous a enseigné à vouloir échapper au jugement de Dieu, qui est proche?	Yohane lə nə yɔ pa' pɑ Farisai pu a pɑ Sadukai tə́ jɔm wə sɔ' gɑ e nu' wap shyə a gɔm bi pu gɑ: Gwya nɔk mtiŋ, wɑ da'tə wɔ məjyə nə ŋkhʉ yɛluŋ Si yə a wə sɔ'a?
Montrez par des actes que vous avez changé de mentalité	Po yam nthɔm myə a ku'nyə nə pɔ pyə wap pʉɔ tʉm tsap a.
et ne pensez pas qu'il suffit de dire en vous-mêmes: “Abraham est notre ancêtre.” Car je vous déclare que Dieu peut utiliser les pierres que voici pour en faire des descendants d'Abraham!	Ka po pɑ́ gɔm pɑ́ gɑ tá yɔk bɑ Abraham. Nə pa' gɑ siŋ wɔ gɑ pɑ Si lɑ mwɔ' mɔ gɑ nə gə pó bi Abraham.
La hache est déjà prête à couper les arbres à la racine: tout arbre qui ne produit pas de bons fruits va être coupé et jeté au feu.	A nə pɑ po'o bɑ jɔm e da' bɑ to ta' thə́. Bǎ ya ta'thə yə a tə jam nthɔm pɑpuŋ a pɑ, pu gɔ ko', to mɔk.
Moi, je vous baptise avec de l'eau pour montrer que vous changez de comportement; mais celui qui vient après moi vous baptisera avec le Saint-Esprit et avec du feu. Il est plus puissant que moi: je ne suis pas même digne d'enlever ses chaussures.	Gɑ bɑwə nu' wɔ pɑ nthʉm shyə gɑ po pʉɔ tʉm tsɔ. Da' gɑ mo yə ě wə sɔ' jʉ̌m m̀ a wə bɑ ě tʉɔ shyə́ a; ŋ kha ku'nyə nə tɔk mnthap myə́. E gɔ sɔ' nu' wɔ nthʉm Zhwenyə Dɔlɔ̌ ba m nthʉm mɔk.
Il tient en sa main la pelle à vanner et séparera le grain de la paille. Il amassera son grain dans le grenier, mais il brûlera la paille dans un feu qui ne s'éteint jamais.»	Mo bɔ bɑ e wim su nə nthyá ywə nə mgha' myə́ pu é. E gɔ khʉm msɛ tʉɔ nyəŋ ŋkhiŋ, piŋ to mgha' myə́ nə mɔk tɑ́ pi.
Alors Jésus vint de la Galilée au Jourdain; il arriva auprès de Jean pour être baptisé par lui.	A lə pɑ po'o, Yeso fɑ Galilea, sɔ' Yurdɛŋ bəŋ Yohane, gɑ́ é nu' é shyə.
Jean s'y opposait et lui disait: «C'est moi qui devrais être baptisé par toi et c'est toi qui viens à moi!»	Yohane lə pɑ́ shə́ŋ nə kəŋnyə, bɑ gɔm gɑ: Myə̀ nə kɑ bɑ gɔ cəŋ gɑ o nu' a shyə, wə nə piŋ sɔ' bəm.
Mais Jésus lui répondit: «Accepte qu'il en soit ainsi pour le moment. Car voilà comment nous devons accomplir tout ce que Dieu demande.» Alors Jean accepta.	Da' gɑ́ Yeso pa' bi e gɑ: Tak gɑ pu ghə pɑ́ kwa' po'o tə́ ywə yə Si jáp a pəmtə́. A pɑ po'o Yohane ghə ywə yə Yeso gɔm a
Dès que Jésus fut baptisé, il sortit de l'eau. Au même moment le ciel s'ouvrit pour lui: il vit l'Esprit de Dieu descendre comme une colombe et venir sur lui.	Yeso lə wuŋ nə təm shyə pa' pu nu' e shyə a, kɛbəŋ ghyɛ', e yɔ Zhwenyə Si fi' sɔ' nə e pa' səŋgɔpfo a.
Et une voix venant du ciel déclara: «Celui-ci est mon Fils bien-aimé; je mets en lui toute ma joie.»	Gi mo piŋ fɑ kɛbəŋ gɔm gɑ: Mo yəŋ gɑ bɑ Mu a yə gɑ ŋkhuŋ e te' a. Gɑ ŋwɛnyə nə cwɔ' é.
Ensuite l'Esprit de Dieu conduisit Jésus dans le désert pour qu'il y soit tenté par le diable.	A lə pɑ po'o Zhwenyə lɑ Yeso gɔ ghakgo gɑ Sata ləŋtə e.
Après avoir passé quarante jours et quarante nuits sans manger, Jésus eut faim.	E lə cwə tsʉ'u mtyɛ'dzʉ mghappfʉə ba mnthyatə mghappfʉə tə tsʉ̌ ywə, jikǔ' yɛ́ e.
Le diable, le tentateur, s'approcha et lui dit: «Si tu es le Fils de Dieu, ordonne à ces pierres de se changer en pains.»	Gɛ ləŋtə sɔ' bəŋ e gɔm bi e gɑ: O pɑ́ Mu Si, o ghɔm gɑ mwɔ' mɔ gɑ cʉ' msɛ.
Jésus répondit: «L'Écriture déclare: “L'homme ne vivra pas de pain seulement, mais de toute parole que Dieu prononce.” »	Da' gɑ Yeso ghɔm bi e gɑ: A bɑ pu və gɑ́ mo tɑ́ bvɔk da' nə msɛ̌ pɑ, mo bvɔk m nə ghɔm tsyə a təm shwə̌ Si a.
Alors le diable l'emmena jusqu'à Jérusalem, la ville sainte, le plaça au sommet du temple	A lə pɑ́ po'o Sata lɑ e gɔ nthʉm tisuŋ Dɔlɔ̌ jap e do Dyə Si
et lui dit: «Si tu es le Fils de Dieu, jette-toi en bas; car l'Écriture déclare: “Dieu donnera pour toi des ordres à ses anges et ils te porteront sur leurs mains pour éviter que ton pied ne heurte une pierre.” »	biŋ gɔm bi e gɑ: O pɑ mu Si, o cʉ́msi, nə pa' a bɑ pu və gɑ. Si gɔ pa ghɔm bi pɑ aŋgəle pyə wap pɑ ŋkwa o nə bu map po'o gɑ o kɑ cwɔ' kwə o nə gwɔ'.
Jésus lui répondit: «L'Écriture déclare aussi: “Ne mets pas à l'épreuve le Seigneur ton Dieu.” »	Yeso ghɔm bi e gɑ: A bɑ pu piŋ bvə ba m gɑ o tɑ gɔ ləŋtə Cyəpɔ Si o pɑ.
Le diable l'emmena encore sur une très haute montagne, lui fit voir tous les royaumes du monde et leur splendeur	Sata piŋ dɑ e gɔ dəm mu' sʉəsʉə kuŋ gǒ; da'tə é guŋ nəfo dzʉ awɛ ba mghu' myə́
et lui dit: «Je te donnerai tout cela, si tu te mets à genoux devant moi pour m'adorer.»	gɔm bi e gɑ: O kam mkwi'tə mu dzə m gamtə a bɑ gɑ̌ gɔ hɑ guŋ e awɛ bu.
Alors Jésus lui dit: «Va-t'en, Satan! Car l'Écriture déclare: “Adore le Seigneur ton Dieu et ne rends de culte qu'à lui seul.” »	A pɑ po'o Yeso ghɔm bi é gɑ: Sata lǔ! Nə pa' a bɑ pu və gɑ o gɔ pɑ ghamtə pɑ da' Cyəpɔ Si o piŋ pɑ fa' da' bi e.
Cette fois le diable le laissa. Des anges vinrent alors auprès de Jésus et se mirent à le servir.	Sata lə tak e nəŋ cwəlɔ pɑ aŋgəle sɔ' bəŋ e, bɑ fa' bi e.
Quand Jésus apprit que Jean avait été mis en prison, il s'en alla en Galilée.	Yeso lə nə yu' gɑ pu ghəm Yohane nthəm dɑ m Galilea
Il ne resta pas à Nazareth, mais alla demeurer à Capernaüm, ville située au bord du lac de Galilée, dans la région de Zabulon et de Neftali.	dú Nazarɛt, gɔ shwə Kapɛrnaum kəŋ shyə lɑpʉə guŋ Zabulon pu Nɛftali
Il en fut ainsi afin que se réalisent ces paroles du prophète Ésaïe	po'o gɑ́ ghɔm tsyə gɔm ghɔm Si Esaya lə ghɔm a, a pəmtə gɑ́
«Région de Zabulon, région de Neftali, en direction de la mer, de l'autre côté du Jourdain, Galilée qu'habitent des non-Juifs!	Guŋ Zabulon, guŋ Nɛftali, jyə shyə́ lɑpʉə, guŋ nə yə mu' jʉɔ Yurdɛŋ, Galilea mgùŋ!
Le peuple qui vit dans la nuit verra une grande lumière! Pour ceux qui vivent dans le sombre pays de la mort, la lumière apparaîtra!»	Pɔ pyə wap lə́ bɑ́ nthʉm jʉ́m á, yɔ ŋkha' gwyə; pɔ pyə wap lə́ bɑ́ nthʉm sə́sə́ guŋ vʉ́ a, ŋkha' sɔ' bi pu.
Dès ce moment, Jésus se mit à prêcher: «Changez de comportement, disait-il, car le Royaume des cieux s'est approché!»	Tə fɑ cwə o bɔ Yeso to' bɑ siŋ gɑ: Po kwyəpnyə: Nəfo kɛbəŋ ghɔptə.
Jésus marchait le long du lac de Galilée, lorsqu'il vit deux frères qui étaient pêcheurs, Simon, surnommé Pierre, et son frère André; ils pêchaient en jetant un filet dans le lac.	Yeso lə pɑ́ giŋ giŋnyə shyə́ lɑpʉə Galilea jɔ shɑ mghəm bapgu pɑpʉə, wap pɑ mfɑ̌. Simon yə pu ŋkhe e gɑ Pɛtrɔ a, pu Andreya fɑ e, wap pɑ́wə ma' nthənthɔm nthʉm shyə́ lɑpʉə.
Jésus leur dit: «Venez avec moi et je ferai de vous des pêcheurs d'hommes.»	Yeso ghɔm bi pú gɑ: Po yap jʉ̌m m̀, gɑ gɔ sɔ' lɑ wɔ ghə pɑ ghəm pɔmnəŋ.
Aussitôt, ils laissèrent leurs filets et le suivirent.	Wap lə wuŋ nthak mnthənthɔm map nə́ŋ Ntham jʉ̀m e.
Il alla plus loin et vit deux autres frères, Jacques et Jean, les fils de Zébédée. Ils étaient dans leur barque avec Zébédée, leur père, et réparaient leurs filets. Jésus les appela	Yeso lə ghɔ tə ŋkho dzə, jɔ shɑ mfɑ pɑpʉə Yakop mu Zebede pu Yohane fɑ e, nthʉm kənu' pu a tá yap Zebede wap pɑwə nyaptə nthənthɔm yap, Yeso ke wap.
aussitôt, ils laissèrent la barque et leur père et ils le suivirent.	Wap lə wuŋ nthak kənu' pú tà yap jap jʉ̌m Yeso.
Jésus allait dans toute la Galilée; il enseignait dans les synagogues de la région, proclamait la Bonne Nouvelle du Royaume et guérissait les gens de toutes leurs maladies et de toutes leurs infirmités.	Yeso lə́ kǎ nə gùŋ Galilea awɛ bɑ ji'tə pɔmnəŋ ywə sinagogə pú, biŋ bɑ siŋ Cuŋ pɑpuŋ nə́ Nəfo, biŋ bɑ jɛ́ mgho pu a mkho'tə cəcɑ́ pɔmnəŋ.
L'on entendit parler de lui dans tout le pays de Syrie et on lui amena tous ceux qui souffraient de diverses maladies ou étaient tourmentés par divers maux: ceux qui étaient possédés d'un esprit mauvais, ainsi que les épileptiques et les paralysés. Et Jésus les guérit.	Pu lə cyanyə tso tsyə́ nə gúŋ pɑ Siria awɛ, pù piŋ bɑ dɑ gùŋ pɑ yɔgo' awɛ, mghɛ gho, kɑ kɑ́ nthi gho mɛnyə lɑ́: Mghɛ ghə zhwenyə cwəpùŋ, pɑ vʉwa', mghɛ po'tə nɑ̀ sɔ' bi é. E pɑ jɛ wáp.
De grandes foules le suivirent; elles venaient de Galilée, de la région des Dix Villes, de Jérusalem, de Judée et du territoire situé de l'autre côté du Jourdain.	Vəŋ du pɔ lə biŋ bɑ́ giŋ jʉ̌m Yeso: Pɔ pyə wap lɑ fɑ Galilea bɑ m Dekapoli, bɑ m Yerusalɛm, bɑ m Yudea, bɑ m nə yə mu' jʉɔ Yurdɛŋ.
Quand Jésus vit ces foules, il monta sur une montagne et s'assit. Ses disciples vinrent auprès de lui	Yeso lə nə yɔ vəŋ pɔmnəŋ ŋkwɔ' dəm kuŋgǒ, shwəsi, pɑkhʉ pyə sɔ' bəŋ e.
et il se mit à leur donner cet enseignement	E lə to' nə ghɔmnwə, bɑ ji'tə wap gɑ
«Heureux ceux qui se savent pauvres en eux-mêmes, car le Royaume des cieux est à eux!	Mpuŋtsé bɑ mpə́ŋ zhwenyə nə pa' nəfo kɛbəŋ bɑ bi pu a.
Heureux ceux qui pleurent, car Dieu les consolera!	Mpuŋtsé bɑ mghɛ byanyə nə pa' wap gɔ sɔ' tsʉ guŋ
Heureux ceux qui sont doux, car ils recevront la terre que Dieu a promise!	Mpuŋtsé bɑ́ pɔ pyə wáp dɔ á nə pa' pu gɔ sɔ' zhwyə́tə wap.
Heureux ceux qui ont faim et soif de vivre comme Dieu le demande, car Dieu exaucera leur désir!	Mpuŋtsé bɑ pɔ pyə jǐ pu a ghak yap ŋkhə nə nwə dəŋdəŋ á nə pa' wap gɔ sɔ' zhwyə́.
Heureux ceux qui ont de la compassion pour autrui, car Dieu aura de la compassion pour eux!	Mpuŋtsé bɑ́ pɑ cɔmmtso nə pa' pu gɔ sɔ' cɔmmtso map.
Heureux ceux qui ont le cœur pur, car ils verront Dieu!	Mpuŋtsé bɑ pɔ pyə wap ghə tʉm dɔlɔ̌ a, nə pa' wap gɔ sɔ' yɔ Si.
Heureux ceux qui créent la paix autour d'eux, car Dieu les appellera ses fils!	Mpuŋtsé bɑ pɑ fa' nə hwitə; nə pa' pu gɔ sɔ' ké wap gɑ pǒ Si.
Heureux ceux qu'on persécute parce qu'ils agissent comme Dieu le demande, car le Royaume des cieux est à eux!	Mpuŋtsé bɑ pɔ pyə pu dɑ wap jɔgo' nə nwə dəŋdəŋ a, nə pa' Nəfo kɛbəŋ bɑ bi pu.
