à	á
orce	ì-bàb
orcher	póz
corps	ɲól1
coton	sùd
couper	cíg
crabe	kádá
raser	kɔg̀
croître	jò
cuire	bə1́
cuire	bùm
de	nouveau
dense	ndìm
dire	cɛd̀ì
dix	ɛ-̀wóm
don	ì-págâ
don	ì-yóm
dépecer	bà
droit	ŋmìz
dur	à-lɛď
durer	káb4
efok	ì-pòg
empiler	jɔ
enfler	vúz
entier	-sə
entrer	ɲíì
faché	pàm
faible	kúl
faner	sà2
ferme	mbóm
fermer	dìb
fesses	zùd
feu	kòmnò
fibre	kɔŋ́
fleur	sǎm
force	pím
force	ŋgùl
fou	ɛ-̀kúd
pàŋnâ	sá1
fumée	vídâ
fumer	dùd1
fusil	ŋgál
gage	ì-bán
arere	dáŋ
genre	kán
graine	mbɔ
guérir	já2
habit	ì-jə
herbe	sáz
herbe	àpàd
hier	ŋgògí
huer	ɲùmnì
humble	kúl
jeter	g͡bà
iule	ŋgɔy̌
jour	à-lú1
jupon	sìmá
jurer	kànì
kola	ɲɛl̀
landa	lànà
latte	lád1
lécher	ɲây
lent	à-tǔ
lever	vàzà
liane	kwǎl
libre	pìlí
lit	ì-nɔŋ̌
loi	mbɛńí
loin	ù-jǎb
louer	lùgà
lourd	dìd
lèvre	ì-já
magie	byàŋ
maigre	líg
maison	ndá
məz̀əg̀ə	̀
maïs	bəb̀ə
mentir	bád
messe	cwáz
midi	tólbé
milieu	zǎŋ
moche	à-bé
oussé	tùl
mûr	ì-vɔ2̀
mère	màŋá
mûrir	təg̀
mur	m̀-pìm
nager	jwág
nervure	kɔ
neuf	ìbùù
noir	à-vín
normal	páŋ
orme	màmà
nu	ndógdó
odeur	d-ěy
ongle	j-ǎ2
ordre	tág
ouvert	pɔ
palme	mbí
andre	ɲɛd̀
pari	ì-bán
aule	ì-túl
peau	ì-kòb
percer	tú2
pet	ɲ̀-cùl
peur	sìzà
pièce	kábâ
piler	cág1
ine	ì-jɔy̌
pli	ì-ɲəǵ
plier	bág2
plier	kúd
plume	tám1
poil	ŋgàz
onge	ɛ-̀ɲà
onge	kùzá
oque	ɲ̀-ɲə
pourrir	bɔ
pousser	jò
père	tàdá
père	íꜜsɔ
priver	cì
prêt	bəb̀ə
pâte	ì-bǐg
pétrir	bìg
puce	ì-dàŋ
uisé	làbàg
puiser	bòd
and?	ídɛń
race	mbɔŋ̀
pus	ɛ-̀víl
eue	ù-làn
inine	kíní
rancir	sùn
raphia	zàm
raser	kəŋ̀
rat	mbɛń
rat	ì-kwě
rater	cɔǵ
ride	ù-tàd
rive	cíngí
riz	ù-lɛź
rouge	à-və
safou	àpǔm
sauver	nì
sauver	nì
scier	sìg3
sein	ɛ-̀bé
serré	kág2
siège	ì-tɔ
signer	sán
singe	kwé1
pùŋ	ù-sǒg
soleil	ǹnó
tacle	cáz2
tailler	bà
tante	sáŋá
taon	ù-sún
taper	bímî
tendre	bùd
kàdì	kwád
kàdì	káb1
terre	sí1
thon	tɔŋ́3
tique	kób2
iré	ɲ̀-còg
tirer	dùd1
irer	ndàmì
tisser	tìŋ
tissu	sàzà
toit	ǹ-nwǐ
très	à-bwǐ
venir	sɔ2́
verre	ì-lá
veste	kód1
vieux	ǹ-tù
vin	bì-lám
violer	tàn
vipère	péy
vivant	və
vol	g͡bəb́
ondo	kɔĺɔ
abattre	kpə
abcès	d-wǎd
abondant	pò
accuser	bád
acheter	kùz
acte	ì-táz
aigre	sàŋ2
aile	ɛ-̀pǎb
aimer	dìŋnì
aisance	mbá
alcool	hàà
aller	kə1̀
amour	pwàd
ananas	zəg̀
année	m̀-mú
anus	ì-láŋ1
appât	ɛ-̀dí
arbre	à-sá
wóódè	tɔm̌
wóódè	tɔľ
wóódè	ǹ-tɔ
associé	àsò
battre	bímî
bêcher	səŋ̀
berge	cíngí
bien	mbwàgí
ène	məv̀ínâ
bénir	kàb2
boire	ɲúŋâ
bon	ɛ-̀bəŋ̀
boue	mbàdgì
boulou	búlî
bourrer	jɔ
bourrer	bóg
bouton	lógô
brûler	díg
caca	mə-̀bí
bru	m̀-mɔḿ
bruit	ì-dǔŋ
bâton	ù-sɔ
aille	ì-báz
cailler	wól
canne	ǹ-túm
casser	búgî
cécité	ndím
cesser	vwàd
champ	à-púb
chaîne	cɛń
happer	tú1
chat	ì-síŋâ
chaud	bàmlà
chemin	zɛň
heveau	kùzá
chose	j-ǒm
chuter	vázî
clé	ì-dììgà
cochon	ŋgǒy
coin	kwánâ
ole	zək̀úlî
coller	bàgì
colobe	sósô
combien	-áŋ
comment?	yá
orce	ì-vín
orché	sódô
coûteux	dyâ
coton	ndəb̀
couper	kpə
couper	bázî
courber	vìd
courir	tə1́
court	hɛd́
outer	vóglô
crachin	pòb
raser	píd1
crasse	mbìd
cri	ù-lɔŋ́
croire	kàŋ2
croître	tù
crépir	síŋ2
cuire	bɛĺə
cuisse	à-bə
ume	ì-vúvûz
cœur	ǹ-nəḿ
ureuil	mbǒg
d'abord	tá
demain	kídí
depuis	kɔḿ
diluer	sòlò
dénoncer	bó
dormir	jázî
dot	ì-vəg̀ə
désir	kpámâ
ekang	ì-kǎŋ
emien	à-kùg
enterrer	dè
envie	kpámâ
envoyer	lóm
etoup	ì-tùb
exposer	les
expres	váŋ
exulter	pòn
farce	ì-làŋ
festin	dínâ
filet	mbúná
fièvre	píbâ
flamber	bwî
fleurir	kpá
foie	ì-səǵ
fond	ì-bón
fond	ɛ-̀tǐg
fonder	bònì
fondre	ɲámâ
forge	à-lú2
fort	mbəm̀
fosse	ì-díb
fourmi	kám1
frais	vɔ2́
frôler	nàmà
frotter	sí2
fête	ɛ-̀bóg
fêter	jəḿî
fumer	túgâ
glacé	dàbgì
globe	ɲ̀-cɔ
gémir	méénì
goal	ì-kɛǹ
gonfler	vúz
gorille	ɲjì
oïste	kpàg2
grade	ì-kúg
grand	nɛń
grandir	náŋ
grâce	mbɔm̌
griller	bùm
gros	ì-ndód
grossir	pàg
hache	ù-vón
heurter	jìm
hotte	ŋ̀-kɔ
houe	ì-kwàb
initié	mbón
jaune	ì-súg
jeter	cáŋdâ
joue	ɛ-̀máŋ
jour	à-mǒz
jusque	vwàz
lancer	g͡bà
larve	pwáz
lavage	ù-sò
layon	ǹ-nán
lent	à-tɔŋ́
lent	ndəŋ̀2
lettre	d-ǐz
lever	kódô1
ever	nɛńî
liane	à-lùm
livrer	nəm̀
long	ì-bàn
long	kúdâ1
lourd	à-dǐd
éphant	zɔg̀
lézard	ɲ́cɔ
malaxer	bù
manger	víb
manger	həb́
marc	ŋ̀-ŋám
marmite	mbə
masser	wúd
masser	báb2
membre	ì-dò
messe	mɛź
mettre	pùdì
mieux	bɛd́ə
moabi	à-jàb
moisir	lùzà
monter	jàm
monter	bɛd́
montrer	les
mou	ì-bùbùd
moudre	kɔg̀
oussé	à-tǔl
mûr	ɲ̀-cùd
mûr	ŋ̀-kúz2
muet	m̀-múg
nain	ì-núŋá
nasse	ɛ-̀jà
naître	wálî
mutité	mbúg
mygale	ŋgám
notre	-èèní
nouvelle	pɔ
odeur	ì-nǔm
offrir	dázâ
oiseau	àmàn
padouk	bázâ
pagne	ì-kòb
orphelin	mɔ
otage	ì-bán
ouate	ndəb̀
ouvrir	kpá
pain	ì-tùb
ais	ǹ-tìgní
panier	j-ǎd
anoui	mbóm
paquet	d-ǒm
argne	ù-lìŋ
argner	kɔỳ
payer	yágnà
pêche	à-lóg
pêcher	jɔb́
peau	ì-vùl
pendant	átá
percer	twî
perdre	dáŋ
perdu	làmbà
peur	w-ɔŋ̌
peur	ì-sìzà
photo	pódô1
icicé	ì-jǎŋ
piéger	lám2
pipe	ɛ-̀bùg
piquer	dígâ
pitié	ŋgwál
plaisir	mbá
plat	ɲ̀-ɲám
plat	ì-cágâ
plat	sàŋlà1
pleur	ǹ-tàd
plomb	àpídâ
plonger	láb
lucher	pózî
lucher	kpàm
pluie	mbəŋ̀
plutôt	ndúŋ
poil	ɛ-̀vùl
porter	dál
poser	bɛd̀ì
pot	ù-dɔg̀
pot	kúlwàdá
poudre	bázâ
ouse	ŋ̀-ŋál
poyane	zòl
prêtre	pàdà
puits	ì-tàm
pulpe	ì-súg
itte	bìkpéy
itter	kódô1
rack	ù-jəŋ̀
racler	wɔḿ
radin	ù-kág
radio	ràdyô
ranger	bág2
raphia	sàzà
rat	ì-bɔg̀2
récit	ndɔŋ́
rein	ɛ-̀tám
reins	ù-dúg
remuer	pógó
risée	bì-jǎ
rixe	ì-tɔm̀
réjouir	pòn
roche	ì-kóg
ronger	wòdì
rosée	ì-búâ
sac	m̀-pəǵ
rôti	kááŋgá
ruiné	ì-kùn
rythme	ság1
sac	ŋ̀-kùd
saisir	g͡bè
saleté	mbìd
saluer	kónî
Sanaga	jɔm̌
sang	mə-̀cǐ
sauver	kòdì
savoir	njí
savon	sɔb́ɔ
séduire	kàz
seau	ǹ-nòŋó
sept	zàŋmál
singe	cígdî
six	sàmnì2
six	-sàmnì1
soif	ì-kódí
songo	sɔŋ̀ɔ
souris	ì-dù
sésame	ɲádâ
suivre	tòŋ
suivre	tó2
suivre	cág2
sève	ɛ-̀cíl
tacler	cáz4
agère	ì-tág
tas	ɛ-̀ŋgóz
tasse	kɔb́1
kàdì	sómló
kàdì	kwàd1
tester	pìzì
tirer	límdâ
tombe	sɔŋ̀2
tomber	páz
tonneau	káz
toucher	kòm
trace	ɛ-̀bɔ
trahir	kəḿ
m̀-mə̀glə	̀
trier	pyàlì
trier	báŋî
triste	à-bé
trouver	dìb
vagin	mbɛľ
vanter	lùgà
uriner	vyé1
usé	ǹ-síbní
usure	cəg̀1
utérus	kòmó
venger	kùn2
vent	ì-vúnî
ver	ɲ̀-cɔŋ́
vide	ì-vóy2
vigueur	pím
visage	à-sú
votre	-èèní
vrai	m̀-pàŋ
achat	ŋ̀-kùz
abstenir	cì
achever	jílâ
adulte	à-mòd
affûter	jəb̀
agressif	hàm
ajouter	bág1
ako	áꜜlɔǵɔ́
alité	ǹ-tɛd́
allonger	sám
amant	ì-bwàn
amont	ɛ-̀kwě
amour	kúngâ
amour	bómnì
apaiser	sùz
appeler	kpàd
appâter	sɛl̀
appuyer	bán2
arbre	ŋgòŋò
arbre	à-kùg
arbre	à-jàb
arbre	à-dǔm
arbre	à-bàŋ2
wóódè	ù-kód
wóódè	pòglò
wóódè	ŋgòn1
wóódè	kɔm̀ɔ
arbuste	à-tù
arc	ì-ŋgàŋlâ
argile	vyǒg
arracher	bàl
arranger	kòm
arrêter	g͡bè
attaché	tyǎ
attirer	dùd1
attiser	sɛl̀
autel	àlàtàr
bafia	bəp̀yà
autre	-pəb́ə
autrui	íꜜzá
avare	ù-kág
avocat	lɔýâ
azobe	ì-kógó
baiser	kúngâ
balayer	vyé2
ballon	ndàmà
bambin	ì-sòm
bande	bándád
banquet	dínâ
baobab	d-úmá
bar	ì-pàtìlá
bassin	bísîn
battre	bímnì
beau	ɛ-̀bəŋ̀
beaucoup	pò
bercer	póblô
bible	bíbɛl̂
biche	ù-bál
blague	ì-làŋ
bloquer	yəḿ
bord	ŋ̀-ŋóm
bord	ŋ̀-kòm
bord	ì-ɲəǵ
bord	ɛ-̀vɛl̀
bouger	ndəŋ́
brise	ì-vúnî
brûler	bàmlà
brosser	wàz1
caché	swàlɔ
cacher	swàlì
cacher	bòmbò
cachet	zìtám
ailler	sógî
capturer	kàm
carpe	mbàgà1
carquois	pàd
causer	láànì
chair	ɲ̀-còn
champ	bì-nà
chance	bəs̀ɔ
chanson	j-ǎ1
chanvre	báŋâ
charbon	d-âg
chasser	sòm
chasser	bó2
chasser	bəŋ̀
helle	ù-lɔŋ̀
cheveux	l-òŋ
chiche	ù-kág
choisir	tɔb́
chétif	ì-kpá
chèvre	kábdì
civette	zɔỳ
clan	ɛ-̀jɔŋ̀
coaguler	wól
cogner	pámî
coiffer	kəŋ̀
coincer	yəḿ
collé	bàgá2
colère	ù-lún
commun	pùlá
orcher	pódô2
corne	ì-làn
costaud	kəm̀
couché	jògó
coula	ì-wómî
couleur	ɲól2
coup	ì-kúdâ
couper	báŋî
couper	cígî
couper	mwàz
couper	kɛd́
couper	bəǵ
court	ì-kùŋá
couvrir	búdî
revisse	sínâ
riture	ù-tìl
crochet	kɔb̀
crotte	ɛ-̀bí
côté	ɛ-̀vɛl̀
cueillir	pád
cuillère	tóg
cuisiner	jám
culotte	háb2
ureuil	ì-kpá
danse	bì-kùd
débuter	tádî
décéder	jíî
déchirer	ɲàb
dent	ɛ-̀sɔŋ̌
dessein	váŋ
dette	ì-kòló
devise	ndán
défricher	lí
défunt	ì-jóŋ
diminuer	sùz
dispute	záŋ
disputer	sùŋ
divin	à-zàmá
donner	kàznì
doué	à-kəŋ́2
doué	kəŋ́bə
douleur	à-yá
déposer	jògì
détacher	tìì
effacer	dímâ
détruire	bó1
uquer	kəŋ́lə
durée	ɛ-̀bǒg
emballer	vàŋ
enduire	píd2
endurer	jíbâ
enfuir	dɔb̀ì
envie	ù-záŋ
espèce	mbɔŋ̀
essuyer	pímî
evoula	ì-vúl
exalter	lùgà
excéder	dàŋ2
expulser	bó2
extraire	bòg
fatigue	sɔḿ
fenêtre	wúnâ
fermé	pɛd̀ə
fermer	pɛd̀
fesse	ɛ-̀kǎn
feuille	ká1
fibre	ndàmdâ
ficeler	kàŋ1
figuier	tɔľ
fille	ì-sìlà
filtrer	bìnì
flèche	ì-lây
fleur	sàmgí
fleur	m̀-móm
fleurir	sàm
flûte	ù-dìŋ
flétrir	sà2
fois	ì-jɔŋ̀1
folon	kùkùmà
forêt	ɛ-̀pàn
fouet	ŋ̀-káz
fougère	zəŋ́
pùmá	ù-kpád
frake	à-kɔm̀
franc	síngì
frappe	ì-kùd
frapper	bímî
frémir	ɲàmnì
froid	dàbgì
fruit	à-bɛĺ
fétiche	byàŋ
gale	ɲ̀-càŋ1
gardien	gôl2
gémir	símnì
goliath	d-ǎz
gombo	ì-nəm̀
goûter	kəg̀ì
goître	ì-vǒg
goutte	ɛ-̀tɔ
grandir	pàg
graver	kpɛd̀
griffer	wòdì
grimper	bɛd́
gâter	ndámnà
gueule	à-nùŋ
guêpe	cìcìlá
guérir	bàbì
hangar	ì-sà2
haricot	kón2
haut	píꜜlɔŋ́
herbe	ì-lɔǵ
herbe	ù-sím
hernie	ù-jóŋ
heure	ɛ-̀bǒg
hibou	ɛ-̀kùŋ
honte	ù-swán
hésiter	sìg1
igname	ì-ɲúm
ignorer	dímâ
l-de	perdrix
hôte	ɲ̀-ɲəŋ́
hutte	ì-bəm̌
importe	zìŋ
injure	ɛ-̀sə
intègre	à-tí
iroko	à-bàŋ2
isolé	ì-təŋ́
jeter	vúmlâ
jeter	səḿî
jeter	pímlâ
jeune	ndɔŋ̀
joie	mì-ntàg
jongler	báz
jupe	ù-bòm1
jurer	màànà
juron	sɔŋ̀1
laisser	jògì
lait	mə-̀ɲáŋ
lame	ɛ-̀njáŋ
large	pòbááŋ
larve	ɛ-̀kǔm
laver	sòbnì
lâche	ɲ̀-còg
lent	tɔŋ́bɔ
lessive	ù-sò
libérer	kòdì
ligne	ǹ-tɛň
liqueur	hàà
oge	ŋ̀-kàŋní
long	píꜜlɔŋ́
long	pɔɔ̀ḿ
loquace	kpál
machette	pà1
lundi	mwánî1
lutte	ɛ-̀sìŋ
lutter	dùbnì
maigrir	bɔŋ́
mamba	ŋ̀-kòd
manquer	cɔǵ
marché	mákíd
marcher	tə1́
mari	ɲ̀-ɲóm1
marigot	ù-só
maïs	ì-kùdà
maudire	jɔg̀
mauvais	à-bé
méchant	à-bé
merde	mə-̀bí
mince	à-bwád
mêlée	ì-tɔm̀
modèle	pàdnà
mone	ɛ-̀sùná
monnaie	cáz1
monnaie	kábâ
moracée	tɔľ
morve	ì-swáz
mouton	kábdì
mûrir	víblá
murmurer	ɲíŋ
natte	ì-kàlì
niais	ì-mbón
nombreux	pò
nommer	bòmlò
occiput	kɔǵ
oiseau	dùgá
ordures	ŋgùn
païen	bə-̀tí
pagayer	dúg2
ouvrir	yázî
ouvrir	kúmdâ
palme	ì-súg
pangolin	káy
panicule	sǎm
pardonner	jù
parier	ì-bán
parler	jəǵî
parole	ɛ-̀vɔ
arpiller	càm
partant	ì-kə
partir	kódô1
passer	kàznì
patience	pǐn
aule	ɛ-̀bán
pécher	səḿ1
peigne	ì-wàz
peigner	wàz1
peindre	pɛń
peine	mì-ntá
perdre	lɔź
perdu	pùdbà
ervier	ù-bàm
petit	cəc̀àd
hémère	ndòn2
piaffer	swán
pierre	ŋgɔg̀
piège	ndɔŋ́ɔ
ilepsie	káná
piment	ù-là
piment	lòbò
pincer	jìdì1
pingre	ù-kág
piquer	sòblò
pirogue	m-ál
placer	bəm̀ì
plainte	mbàŋ
plantain	àlú
plante	ɲɔỳ
plante	àbɔl̀
plein	təm̀bə
pleurer	jə2̀
lucher	tònì
pénétrer	ɲíì
poison	ɲ̀-cù
poisson	kwǎz
police	pùlúz
pondre	tágî2
pot	m̀-mɔŋ̀
poudre	ndwì
poussière	cà
prendre	ɲɔŋ̀
presser	myàd
profit	m̀-pí
profond	pùd
prout	ɲ̀-cùl
préparer	jám
querelle	záŋ
purger	bóónò
python	mbɔm̀
queue	ŋ̀-kǒn
inine	ì-kùg
rancune	ì-bá
rang	ɲ̀-cámá
rapace	káyám
raton	mbəń
récolter	bòg
refouler	bó2
rempli	ǹ-túd
reprocher	jò
reste	ɛ-̀tǐg
rester	lígî
rester	bógbô
retard	mbúz
rivage	cíngí
rivière	ù-só
réjouir	tàg
roche	ù-sán
rocher	ŋgɔg̀
rotin	ǹ-nɔŋ́
rotin	mbəŋ́
rougeur	còd
répandre	càm
résidu	ì-jám
ruine	ì-kùn
rusé	ù-bàŋgí
réveillé	və
révéler	páŋâ
sagesse	pəg̀
sapelli	à-sə
sauter	jɛĺî
sécher	yánî
sentier	zɛň
sentir	nùmlà
serpent	ɲɔy̌
pùŋ	ù-ŋgɛž
slip	ŋ̀-káná
soie	zəŋ̀gà
soigner	pílî
soin	nəŋ̀lə
souche	ì-kǔm
source	ì-tàm
sourire	múŋ
soutenir	súg
succéder	tó2
succès	nəg̀
sucer	sɔb́dɔ
suinter	jólə
surplus	mbùg
table	təb́lə
tante	swáŋɔ
tard	mbúmbúâ
teigne	ɛ-̀kɔ
temps	ɛ-̀bǒg
tendre	lám2
tenter	bóblô
kàdì	pɛĺgí
tige	ɛ-̀tín1
incelle	kâg2
tirer	dùùdà
irer	límdân
tolérer	jíbâ
tomate	tòmád
tortue	kúlâ1
toucan	kúngí
tourner	sùn
tousser	kwáz
toux	ì-kɔźî
trait	ǹ-tɛň
travail	ì-sá
travail	kàmá
tremper	jínî
tresser	pɛǹ
tronc	ŋ̀-kùm
trou	ɛ-̀jɔŋ́
tsétsé	ù-bòg
tunnel	ì-sàm
tuyau	zɔŋ́2
type	ì-bəg̀á
vase	mə-̀lǐb
veine	ɲ̀-cǐz
vendre	kùznì
venger	kùnì
verser	dàbdà
verser	kúbî
verveine	des
ville	tíswân
vin	mə-̀jɔ̀g
viser	kɛd̀nà
vouloir	jə1̀
youyou	káálá
abattu	kùlbà
abîmer	ndámnà
absent	jəḿnì
acidité	à-sǎŋ
actif	ŋ̀-káŋá
aggraver	túlî
agiter	ləǵnì
agoniser	bímî
aiguiser	jəb̀
ailes	ǹ-nəŋ́
albinos	ǹ-nàŋ
alcool	bì-lám
allaiter	ɲáŋâ
allumé	kàblà
allumer	bɔg̀ì
amasser	kóznò
amende	àlàmán
amibiase	bùnì
ample	ɲ̀-còg
amvout	à-mbǔd
ange	íŋgɛĺzì
anémie	mə-̀cǐ
anneau	ù-kɛń
anomalure	ŋgù
appel	ù-kábí
apporter	kə3̀
arbre	ù-zwál
arbre	à-ndòm
arbre	à-mbǔd
arbre	à-lɔm̌
arbre	à-kɔm̀
arbre	ì-sánî2
wóódè	ù-vəŋ̀
wóódè	ù-pɛź
wóódè	m̀-pǒl
argent	síngì
argile	ì-kwán
arracher	làlì
arrivant	ǹ-sɔ
assiette	ì-só
asthme	ì-bǎb2
asticot	ì-túm
athérure	ŋgǒm
attaché	tììbà
attacher	kàŋ1
attraper	g͡bè
augure	ɛ-̀bə
avaler	sógdô
avare	pɔm̀nì
avertir	bəḿî
avidité	ndɔg̀
bain	d-ɔǵbɔ̂
balai	ì-vyɔĝ
bambou	ì-bà2
barbe	zəŋ̀gà
barrière	sàzà
bassin	ù-dúg
bateau	tìtímâ
bave	ɛ-̀kəŋ̀1
beaucoup	lógó
bien-être	mbá
bâiller	yáànì
billet	tíkɛd̂
blanc	ǹ-táŋní
bénir	púúbân
boiter	cəḿgə
bonheur	bəs̀ɔ
bonsoir	ŋgògí
bosse	ì-ŋgúl
bouger	sílâ1
bouillir	twàg
bravade	à-nùŋ
brave	ŋ̀-káŋá
braver	nəǵnì
briller	kàblà
briquet	brìké
brûler	bɔg̀ì
brûlure	ì-jǎŋ
brouter	wòdì
bruit	ì-sòg1
brun	ì-vɛĺî
bâton	sògzò1
bâton	ì-ŋgəŋ́
bâton	ndəŋ̀1
cadeau	ì-págâ
café	ì-pàtìlá
cafard	pəṕéy
cahute	ì-bəm̌
caisse	ì-zímí
carabine	cábâ
carpe	ndɔǹɔ
casque	ì-kóŋó
casserole	mbə
caverne	ŋgɔg̀
cendre	ɛ-̀swǐ
chaleur	à-jóŋ
hanger	ɲúŋnì
chant	ɛ-̀mbòŋ
chapeau	ǹ-tóm
happer	sɛl̀gə
charbon	m-âg
charger	bɛd̀ì
chasse	ɲ̀-cǒm
hasses	bì-nág
chasseur	m-òd
chemise	swád1
chercher	jəŋ́
chique	ɛ-̀zwě
houer	kpəz̀ə
chérir	məŋ̀lə
ciseaux	ɲjɔỳ
clamer	bəǵlə
clameur	kɔm̀1
clôture	ŋgólô
coccyx	ì-kɔǵ
coiffer	pɛǹ
colique	kòglô
colis	ɛ-̀tóm2
collecter	cáb
commander	jôy
composer	tə2́
conduire	dùd2
confier	jìdì2
orce	ŋ́kɛńə̂
cotonnier	sùd
coucher	bóŋbô
couler	còbdò
couper	sɛd́î
couper	lɛźî
couper	kpàgì
courge	síŋlâ1
couscous	vùvú
céphalope	só
crachat	ɛ-̀té
crainte	w-ɔŋ̌
raser	síŋlâ2
créateur	ǹ-tə
cravate	kwálɔ
crayon	ŋ̀-kòz
crise	ɛ-̀jəb́
créole	ɲjɔb́î
cruauté	à-jòl
côté	kəŋ́ꜜnə
cuisine	kásîn
ureuil	mɔŋ̂ɔ
cuvette	bísîn
daman	ɲ̀-ɲǒg
danse	ì-sánî1
danse	ì-wɔŋ̀ɔ
débrousser	lí
déclarer	vɔ1́
debout	tɛĺə
demander	bólô
derrière	mbúz
descendre	sùz
devenir	mógô
devenir	bógbô
défendre	cìlà
défoncer	vùŋ
dégager	kpàgì
dégoûtant	ɲěy
diarrhée	ńtwí
disperser	sàz
dispute	ì-sùŋ
délabré	ì-túg
dénoncer	kəḿ
dépasser	káŋâ
dépecer	kpàl
déposer	nàlì
désherber	bàl
désordre	sàz
détacher	sógî
détacher	kòzì
effrayer	sìzà
empêcher	jəg̀
encore	bágbá
mbɛǹbə	zòmò
enfant	ì-sòm
enfoui	pùdbà
enlever	vàzà
enlever	swádí
enlever	báŋî
enlever	bázî
enrichir	bíg
enrouler	vàŋ
enrouler	bɔǵ
entrer	ɲíŋlâ
escalader	kà2
escargot	kwé2
essayer	pìzì
estomac	ù-sàŋ
exagérer	dàŋ1
examen	ŋ̀-kàd
exhiber	cɔǹì
fabriquer	kòm
fabriquer	mə
facile	ì-bùbû
fagot	m̀-mɔm̀
exposer	pònì
exprès	ù-váŋ
façon	ɛ-̀kɔm̀
femme	m-ìnŋgá
fente	ì-sàlgà
feuille	ù-ká
fleur	pùláwô
fleur	ì-sàmgà
fleur	ù-zǒm1
former	kəŋ́lə
fouet	ŋmg͡báz
fouiller	cáz3
foulard	ǹ-tóm
franc	d-ɔĺɔ̂
franchir	kpám
frapper	kùmdà
friture	káŋgá
froid	ɛ-̀vəb́
frère	mɔꜜ̌jáŋ
galago	ɲ̀-cá2
géant	píꜜlɔŋ́
genou	ɛ-̀bɔŋ́
genre	ì-bəg̀á
gerçure	kəg̀ə
glisser	sɛǹə
glouton	kpàg2
